,Unnamed: 0,Unnamed: 0.1,careerLevel,careerLevel_other,centerAffiliation,centerAffiliation_other,dataAmount_lsf,dataAnalDuration_sub,dataFormats_1,dataFormats_10,dataFormats_11,dataFormats_12,dataFormats_13,dataFormats_14,dataFormats_15,dataFormats_2,dataFormats_3,dataFormats_4,dataFormats_5,dataFormats_6,dataFormats_7,dataFormats_8,dataFormats_9,dataFormats_other,dataGenMethodSpec_1_1,dataGenMethodSpec_1_2,dataGenMethodSpec_1_3,dataGenMethodSpec_2_1,dataGenMethodSpec_2_2,dataGenMethodSpec_2_3,dataGenMethodSpec_3_1,dataGenMethodSpec_3_2,dataGenMethodSpec_3_3,dataGenMethodSpec_4_1,dataGenMethodSpec_4_2,dataGenMethodSpec_4_3,dataGenMethodSpec_5_1,dataGenMethodSpec_5_2,dataGenMethodSpec_5_3,dataGenMethodSpec_6_1,dataGenMethodSpec_6_2,dataGenMethodSpec_6_3,dataGenMethodSpec_7_1,dataGenMethodSpec_7_2,dataGenMethodSpec_7_3,dataGenMethod_1,dataGenMethod_2,dataGenMethod_3,dataGenMethod_4,dataGenMethod_5,dataGenMethod_6,dataGenMethod_o,dataGenMethod_other,dataInPublication,dataOrigin_MeasVsSim,dataOrigin_SelvVsReuse,dataStorage_0,dataStorage_1,dataStorage_2,dataStorage_3,dataStorage_other,docAuto_2,docAuto_3,docAuto_4,docAuto_5,docAuto_6,docAuto_7,docAuto_8,docAuto_9,docAuto_other,docDefSchema,docDigital_2,docDigital_3,docDigital_4,docDigital_5,docDigital_6,docDigital_7,docDigital_8,docDigital_9,docDigital_other,docMetadata_2,docMetadata_3,docMetadata_4,docMetadata_5,docMetadata_6,docMetadata_7,docMetadata_8,docMetadata_9,docMetadata_other,docMethod_0,docMethod_1,docMethod_2,docMethod_3,docMethod_other,docMotivation_0,docMotivation_1,docMotivation_2,docMotivation_3,docMotivation_4,docMotivation_5,docMotivation_6,docMotivation_other,docObstacles_0,docObstacles_1,docObstacles_4,docObstacles_5,docObstacles_6,docObstacles_7,docObstacles_8,docObstacles_9,docObstacles_other,docStandards_1,docStandards_10,docStandards_11,docStandards_12,docStandards_13,docStandards_14,docStandards_15,docStandards_16,docStandards_17,docStandards_18,docStandards_19,docStandards_2,docStandards_20,docStandards_21,docStandards_22,docStandards_23,docStandards_24,docStandards_25,docStandards_26,docStandards_3,docStandards_4,docStandards_5,docStandards_6,docStandards_7,docStandards_8,docStandards_9,docStandards_other,docStructured,experimentDuration_sub,fairFamiliarity,feedback,id,interviewtime,lastpage,longtermStorage,lsfIdent_1,lsfIdent_10,lsfIdent_11,lsfIdent_2,lsfIdent_3,lsfIdent_4,lsfIdent_5,lsfIdent_6,lsfIdent_7,lsfIdent_8,lsfIdent_9,lsfIdent_other,orcid,pubAmount,pubMetadata_0,pubMetadata_1,pubMetadata_21,pubMetadata_22,pubMetadata_23,pubMetadata_24,pubMetadata_31,pubMetadata_32,pubMetadata_33,pubMetadata_41,pubMetadata_42,pubMetadata_43,pubMetadata_44,pubMetadata_51,pubMetadata_52,pubMetadata_61,pubMetadata_62,pubMetadata_71,pubMetadata_72,pubMetadata_81,pubMetadata_82,pubMetadata_83,pubMetadata_91,pubMetadata_92,pubMetadata_93,pubMetadata_other,pubMethod_1,pubMethod_2,pubMethod_3,pubMethod_other,pubMotivation_1,pubMotivation_2,pubMotivation_3,pubMotivation_4,pubMotivation_5,pubMotivation_6,pubMotivation_7,pubMotivation_other,pubObstaclesA_0,pubObstaclesA_1,pubObstaclesA_2,pubObstaclesA_3,pubObstaclesA_4,pubObstaclesA_5,pubObstaclesA_6,pubObstaclesA_7,pubObstaclesA_other,pubObstaclesB_0,pubObstaclesB_1,pubObstaclesB_2,pubObstaclesB_3,pubObstaclesB_4,pubObstaclesB_5,pubObstaclesB_6,pubObstaclesB_7,pubObstaclesB_other,pubRepo_1,pubRepo_2,pubRepo_3,pubRepo_4,pubRepo_5,researchArea,researchAreaAGRI,researchAreaAGRI_other,researchAreaBIO,researchAreaBIO_other,researchAreaCHEM,researchAreaCHEM_other,researchAreaGEO,researchAreaGEO_other,researchAreaING,researchAreaING_other,researchAreaLIFE,researchAreaLIFE_other,researchAreaMATH,researchAreaMATH_other,researchAreaMED,researchAreaMED_other,researchAreaPHYS,researchAreaPHYS_other,researchAreaPSYCH,researchAreaPSYCH_other,researchArea_other,researchFieldHGF,seed,servFormat_1,servFormat_2,servFormat_3,servFormat_4,servFormat_5,servFormat_6,servNeeds_sub_0,servNeeds_sub_1,servNeeds_sub_2,servNeeds_sub_3,servNeeds_sub_4,servNeeds_sub_5,servNeeds_sub_6,servNeeds_sub_7,servNeeds_sub_8,servNeeds_sub_9,servNeeds_sub_other,software_1,software_2,software_3,startlanguage,submitdate,yearsInResearch,centerAffiliation_short,Hub,Unnamed: 270,Unnamed: 271,researchAreaCombined,researchAreaWithLife
331,331,331,Principal Investigator,,German Aerospace Center (DLR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,19,39.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",345025494,,,,,,,,,,,,,,,,,,,,,de,,7 to 10 years,DLR,AST,,,Aerospace Engineering,Engineering Science
332,332,332,Postdoc,,German Aerospace Center (DLR),,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 MB - 1000 MB (1 GB),1,5,No,No,Yes,No,,none,none,,all,,,,,,No,all,all,,all,,,,,,True,True,False,True,False,False,False,False,,False,False,True,True,,False,True,False,True,False,False,True,,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,This is the first time I have heard about the FAIR data guidelines.,,20,635.72,5,I don't know,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,True,False,,,,,,,Engineering Science,,,,,,,,,,,,,,,,,,,,,Transportation,"Aeronautics, Space and Transportation",1247490096,very interested,very interested,,,very interested,,False,False,False,True,False,False,False,False,False,False,,python,,,en,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,,Engineering Science
333,333,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aeronautics, Space and Transportation",1091595230,,,,,,,,,,,,,,,,,,,,,de,,,,AST,,,,
334,334,334,Research associate,,German Aerospace Center (DLR),,,,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't know.,1,2,No,Yes,No,No,,none,none,none,,,,,,,,some of them,some of them,some of them,,,,,,,True,True,True,False,False,False,False,False,,False,True,False,True,,,,,,,,,,False,True,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,22,382.16,5,No,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,False,True,False,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",772407219,very interested,very interested,not interested,moderately interested,moderately interested,very interested,False,False,False,False,False,False,False,False,False,False,Es gibt unterstützende Angebote?,Python,LabView,Outlook,de,1980-01-01 00:00:00,4 to 6 years,DLR,AST,,,Aerospace Engineering,Engineering Science
335,335,335,PhD student,,German Aerospace Center (DLR),,,,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 GB - 10 GB,5,2,Yes,No,No,No,,,,all,,none,,,all,,,,,all,,all,,,all,,False,False,True,False,True,False,False,True,,False,False,False,True,,,,,,,,,,False,True,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,23,455.48,5,I don't know,,,,,,,,,,,,,,30,False,False,,,,,,,,True,True,False,True,,,False,True,,,,,,False,False,False,,False,False,False,Bisher gar nicht,False,False,False,True,False,False,False,,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",962940071,moderately interested,very interested,moderately interested,very interested,very interested,moderately interested,False,False,False,True,True,True,True,True,True,True,,CFD Software,Machine Learning Libraries,"CFD Visualisierungssoftware (e.g. TecPlot, ParaView)",de,1980-01-01 00:00:00,Less than 1 year,DLR,AST,,,Aerospace Engineering,Engineering Science
336,336,336,Research associate,,German Aerospace Center (DLR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,24,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",2088194430,,,,,,,,,,,,,,,,,,,,,de,,7 to 10 years,DLR,AST,,,Aerospace Engineering,Engineering Science
337,337,337,Research associate,,German Aerospace Center (DLR),,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 100 MB,3,2,No,No,Yes,No,,none,none,,,,,,,,Yes,some of them,some of them,,some of them,some of them,,,,,True,True,False,True,True,False,False,False,,False,False,False,True,,False,True,True,True,False,True,False,,False,False,True,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,Yes,,This is the first time I have heard about the FAIR data guidelines.,,25,722.17,5,I don't know,,,,,,,,,,,,,,75,False,False,False,False,True,True,False,False,False,,,,,True,True,False,False,,,,,,,,,,True,False,False,,False,True,True,False,True,False,False,,False,False,True,True,True,False,False,False,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Mechanical Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",563468670,very interested,very interested,very interested,very interested,very interested,very interested,True,,,,,,,,,,,Python,Excel,SPSS,de,1980-01-01 00:00:00,Less than 1 year,DLR,AST,,,Mechanical Engineering,Engineering Science
338,338,338,Research associate,,German Aerospace Center (DLR),,,,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,4,1,Yes,No,No,No,,,none,none,none,,,,,,,,,all,all,,,,,,False,True,True,True,False,False,False,False,,False,False,False,True,,,,,,,,,,False,False,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,26,435.97,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",841662084,very interested,very interested,moderately interested,moderately interested,very interested,very interested,False,False,True,True,False,True,True,False,True,True,,Tecplot,TRACE,,de,1980-01-01 00:00:00,4 to 6 years,DLR,AST,,,Aerospace Engineering,Engineering Science
339,339,339,Research associate,,German Aerospace Center (DLR),,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,4,1,No,No,Yes,No,,,all,,,,,,,,,all,all,,,,all,,,,True,True,True,False,False,True,False,False,,False,False,False,True,,False,False,False,True,False,False,False,,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,This is the first time I have heard about the FAIR data guidelines.,Als wissenschaftliche Daten sind hier überwiegend Quellcode anzusehen.,27,634.86,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,,,,,,,Engineering Science,,,,,,,,,,,,,,,,,,,,,Robotik,"Aeronautics, Space and Transportation",166414207,moderately interested,very interested,very interested,,,moderately interested,False,False,False,False,False,False,False,False,True,False,,Robot Operation System,C++ (everything to develop/compile),Python (everything to develop/run),de,1980-01-01 00:00:00,1 to 3 years,DLR,AST,,,,Engineering Science
340,340,340,Research associate,,German Aerospace Center (DLR),,,,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 1 TB,5,2,No,No,No,No,"DKRZ, LRZ",some of them,some of them,some of them,some of them,,,,,,,all,all,some of them,all,,,,,,True,True,True,True,False,False,False,False,,False,False,False,True,,,,,,,,,,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I apply the FAIR data guidelines to the best of my knowledge and/or ability.,,28,2162.23,5,Yes,,,,,,,,,,,,,,5,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,True,True,False,CERA Datenbank am DKRZ,True,False,False,True,True,False,False,,False,False,True,True,True,True,False,True,,,,,,,,,,,ZENODO,CERA Datenbank am DKRZ,,,,Earth Science,,,,,,,Atmospheric Science,,,,,,,,,,,,,,,"Aeronautics, Space and Transportation",838208197,moderately interested,very interested,very interested,very interested,very interested,very interested,False,True,False,True,True,True,True,False,False,True,,nco,cdo,python,de,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,Atmospheric Science,Earth Science
341,341,341,Research associate,,German Aerospace Center (DLR),,,,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 GB - 10 GB,3,2,No,No,Yes,No,,,none,none,none,,,,,,,,some of them,some of them,some of them,,,,,,False,True,True,True,False,False,False,False,,False,False,True,True,,,,,,,,,,False,True,False,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,29,443.37,5,I don't know,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,True,False,True,False,,,,,,,Engineering Science,,,,,,,,,Energy Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",749332481,very interested,very interested,moderately interested,very interested,very interested,very interested,False,False,False,True,True,True,True,True,True,True,,Dymola,Python,Matlab/ Simulink,de,1980-01-01 00:00:00,1 to 3 years,DLR,AST,,,Energy Engineering,Engineering Science
342,342,342,Research associate,,German Aerospace Center (DLR),,,,False,False,False,True,False,False,True,True,True,False,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 MB - 1000 MB (1 GB),2,2,No,Yes,No,No,,none,some of them,some of them,some of them,none,,,,,,all,some of them,some of them,all,some of them,,,,,True,True,True,True,True,False,False,False,,False,True,False,True,,,,,,,,,,False,True,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,30,749.86,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,False,False,False,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",1546593688,moderately interested,very interested,moderately interested,,moderately interested,not interested,False,True,True,False,True,True,True,False,False,False,,Labview,Tecplot,Fortran,en,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,Aerospace Engineering,Engineering Science
343,343,343,Research associate,,German Aerospace Center (DLR),,,,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,< 100 MB,1,1,No,No,Yes,No,,some of them,some of them,some of them,,,,,,,,all,all,all,,,,,,,True,True,True,False,False,False,False,False,,False,False,False,True,,,,,,,,,,False,True,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am not sure,,I am familiar with the FAIR data guidelines.,,31,415.2,5,I don't know,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,True,False,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",1922823130,very interested,very interested,very interested,moderately interested,moderately interested,very interested,False,False,False,False,False,True,True,False,False,False,,Python,Excel,PostGreSQL/ MSAccess,de,1980-01-01 00:00:00,1 to 3 years,DLR,AST,,,Aerospace Engineering,Engineering Science
344,344,344,Other,Labortechniker,German Aerospace Center (DLR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,33,197.73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physics,,,,,,,,,,,,,,,,,"Atomic, Molecular, Optical and Plasma Physics",,,,,"Aeronautics, Space and Transportation",1044934141,,,,,,,,,,,,,,,,,,,,,de,,,DLR,AST,,,"Atomic, Molecular, Optical and Plasma Physics",Physics
345,345,345,Research associate,,German Aerospace Center (DLR),,,,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 MB - 1000 MB (1 GB),4,3,No,No,Yes,No,,,none,,none,,some of them,,,,,,all,,all,,some of them,,,,False,True,False,True,False,True,False,False,,False,False,False,True,,,,,,,,,,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I am familiar with the FAIR data guidelines.,,34,1375.6,5,Yes,,,,,,,,,,,,,,5,False,False,,,,,False,False,False,,,,,False,False,,,True,False,,,,,,,,False,False,False,Hinweise zu Quellen der Anbieter,False,False,False,False,False,True,False,,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Computer Science,,,,,,,,,,,,,"Aeronautics, Space and Transportation",2042696560,moderately interested,moderately interested,very interested,not interested,moderately interested,moderately interested,False,False,False,False,False,False,False,True,True,False,,"interne ""Prototypen""",git,Power Point,de,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,Computer Science,Engineering Science
346,346,346,Research associate,,German Aerospace Center (DLR),,,,False,False,True,True,False,True,True,False,True,False,False,False,True,True,False,EIgene Binärfiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,2,1,No,Yes,Yes,No,,some of them,,,,,,,,,,some of them,,,,,,,,,True,False,False,False,False,False,False,False,,False,True,False,True,Internes Wiki,,,,,,,,,False,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the first time I have heard about the FAIR data guidelines.,,35,375.87,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,False,True,False,False,,,,,,,Engineering Science,,,,,,,,,Electrical Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",143175163,very interested,very interested,very interested,moderately interested,moderately interested,very interested,False,False,True,True,True,False,True,False,True,True,,Matlab,Python,Office,de,1980-01-01 00:00:00,4 to 6 years,DLR,AST,,,Electrical Engineering,Engineering Science
347,347,347,Research associate,,German Aerospace Center (DLR),,,,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,1,1,No,No,Yes,No,,none,,some of them,some of them,,,,,,No,all,,all,all,,,,,,True,False,True,True,False,False,False,False,,False,False,True,True,,False,True,False,True,False,False,False,,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,This is the first time I have heard about the FAIR data guidelines.,,36,479.91,5,I don't know,,,,,,,,,,,,,,5,False,False,False,False,True,True,,,,True,True,False,True,False,True,,,,,,,,,,,,False,False,False,,False,True,False,False,False,True,False,,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",1218582618,very interested,very interested,moderately interested,moderately interested,not interested,very interested,False,False,False,False,False,False,False,False,False,True,,ZEMAX,Altium Designer,Solidworks,de,1980-01-01 00:00:00,4 to 6 years,DLR,AST,,,Aerospace Engineering,Engineering Science
348,348,348,Research associate,,German Aerospace Center (DLR),,,,True,False,True,True,False,True,False,True,False,True,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,1,1,No,No,Yes,No,,,,,,,,,,,,some of them,,,some of them,,,,,,True,True,True,True,False,False,False,False,,False,False,True,True,,,,,,,,,,False,True,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,37,367.04,5,Yes,,,,,,,,,,,,,,5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,False,True,False,,False,False,False,True,True,True,False,,False,False,True,False,True,True,False,False,,,,,,,,,,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",396299157,very interested,very interested,moderately interested,not interested,very interested,not interested,False,True,True,True,False,False,True,True,False,False,,,,,de,1980-01-01 00:00:00,7 to 10 years,DLR,AST,,,Aerospace Engineering,Engineering Science
349,349,349,Principal Investigator,,German Aerospace Center (DLR),,,,True,False,True,False,False,True,True,False,True,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 GB - 1000 GB (1 TB),3,2,No,No,Yes,No,,some of them,,some of them,some of them,some of them,,,,,,all,,all,all,all,,,,,True,False,True,True,True,False,False,False,,False,False,False,True,,,,,,,,,,False,True,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I am familiar with the FAIR data guidelines.,,38,293.73,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,True,True,True,,,,,,,Engineering Science,,,,,,,,,Electrical Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",708349910,moderately interested,moderately interested,not interested,not interested,very interested,moderately interested,False,True,False,True,True,True,False,True,True,True,,Matlab,LabView,,de,1980-01-01 00:00:00,7 to 10 years,DLR,AST,,,Electrical Engineering,Engineering Science
350,350,350,Principal Investigator,,German Aerospace Center (DLR),,,,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,Binäre proprietäre Formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 GB - 10 GB,2,2,No,No,Yes,No,,none,none,none,,,,,,,,some of them,some of them,some of them,,,,,,,True,True,True,False,False,False,False,False,,False,True,True,True,,,,,,,,,,False,False,True,False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am not sure,,This is the first time I have heard about the FAIR data guidelines.,,39,386.03,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,True,True,False,True,,,,,,,Engineering Science,,,,,,,,,Electrical Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",6882832,very interested,very interested,moderately interested,moderately interested,moderately interested,very interested,False,True,False,True,True,True,False,False,True,True,,Matlab,Python,Robot Operating System (ROS),de,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,Electrical Engineering,Engineering Science
351,351,351,Research associate,,German Aerospace Center (DLR),,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 GB - 100 GB,3,2,No,No,Yes,No,,none,none,none,,,,,,,,all,all,all,,,,,,,True,True,True,False,False,False,False,False,,False,False,False,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,This is the first time I have heard about the FAIR data guidelines.,,40,2731.22,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,,,,,,,Engineering Science,,,,,,,,,Electrical Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",656124666,not interested,not interested,not interested,not interested,not interested,not interested,True,,,,,,,,,,,Matlab,Latex,,de,1980-01-01 00:00:00,1 to 3 years,DLR,AST,,,Electrical Engineering,Engineering Science
352,352,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aeronautics, Space and Transportation",2048174290,,,,,,,,,,,,,,,,,,,,,de,,,,AST,,,,
353,353,353,Principal Investigator,,German Aerospace Center (DLR),,,,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 GB - 10 GB,3,2,No,No,Yes,No,,none,,none,none,,,,,,No,all,,all,all,,,,,,True,False,True,True,False,False,False,False,,False,True,False,True,,False,True,True,True,False,False,True,,False,True,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,This is the first time I have heard about the FAIR data guidelines.,,42,416.39,5,Yes,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,,,,,,,Engineering Science,,,,,,,,,Aerospace Engineering,,,,,,,,,,,,,"Aeronautics, Space and Transportation",753448996,moderately interested,very interested,very interested,moderately interested,moderately interested,moderately interested,False,False,False,True,False,True,False,True,True,True,,Python,Matlab,Latex,de,1980-01-01 00:00:00,More than 10 years,DLR,AST,,,Aerospace Engineering,Engineering Science
